商品id	对应的道具id	折扣信息discount	数量num	原价beforeprice	现价nowprice	限limitNum	type(0:套装,1:道具,2:隐藏道具)	活动图片url
s00020	3014	10	1	35	35	0	2	
s00021	3005	10	1	35	35	0	2	
s00027	3007	10	1	35	35	0	2	
s00022	3017	10	1	7	7	0	2	
s00023	3018	10	1	13	13	0	2	
s00024	3019	10	1	24	24	0	2	
s00025	3020	10	1	55	55	0	2	
s00026	3021	10	1	99	99	0	2	
s00031	3004	10	3	45	45	0	2	
s00032	3004	8.55	9	135	115	0	2	
s00033	3004	7.25	18	270	195	0	2	
s00041	3001	10	3	45	45	0	2	
s00042	3001	8.55	9	135	115	0	2	
s00043	3001	7.25	18	270	195	0	2	
s00051	3002	10	3	45	45	0	2	
s00052	3002	8.55	9	135	115	0	2	
s00053	3002	7.25	18	270	195	0	2	
s00061	3003	10	3	95	95	0	2	
s00062	3003	8.6	9	285	245	0	2	
s00063	3003	7.46	18	570	425	0	2	
